symbol,name,listing_date,ticker
OMPOWER,Om Power,2026-04-17,OMPOWER.NS
POWERICA,Powerica,2026-04-02,POWERICA.NS
SAIPAR,Sai Parenterals,2026-04-02,SAIPAR.NS
AEROBASMATI,Aeroplane Basmati,2026-04-02,AEROBASMATI.NS
CMPDI,Central Mine Planning,2026-03-30,CMPDI.NS
GSPCROP,GSP Crop Science,2026-03-24,GSPCROP.NS
INNOVISION,Innovision,2026-03-23,INNOVISION.NS
RAJPUTANA,Rajputana Stainless,2026-03-19,RAJPUTANA.NS
SEDEMAC,Sedemac Mechatronics,2026-03-11,SEDEMAC.NS
OMNITECH,Omnitech Engineering,2026-03-05,OMNITECH.NS
PNGSREVA,PNGS Reva,2026-03-04,PNGSREVA.NS
CLEANMAX,Clean Max Enviro Energy,2026-03-02,CLEANMAX.NS
SHRERAMTW,Shree Ram Twistex,2026-03-02,SHRERAMTW.NS
GAUDIUM,Gaudium IVF,2026-02-27,GAUDIUM.NS
FRACTAL,Fractal Analytics,2026-02-16,FRACTAL.NS
AYEFIN,Aye Finance,2026-02-16,AYEFIN.NS
SHADOWFAX,Shadowfax Technologies,2026-01-28,SHADOWFAX.NS
AMAGI,Amagi Media Labs,2026-01-21,AMAGI.NS
BCCL,Bharat Coking Coal,2026-01-19,BCCL.NS
GKIDNEY,Gujarat Kidney Super Speciality,2025-12-30,GKIDNEY.NS
KSH,KSH International,2025-12-23,KSH.NS
IPRUAMC,ICICI Prudential AMC,2025-12-19,IPRUAMC.NS
PARKMEDI,Park Medi World,2025-12-17,PARKMEDI.NS
NEPHROPLUS,NephroPlus,2025-12-17,NEPHROPLUS.NS
CORONA,Corona Remedies,2025-12-15,CORONA.NS
WAKEFIT,Wakefit Innovations,2025-12-15,WAKEFIT.NS
VIDYA,Vidya Wires,2025-12-10,VIDYA.NS
MEESHO,Meesho,2025-12-10,MEESHO.NS
AEQUS,Aequs,2025-12-10,AEQUS.NS
SUDEEP,Sudeep Pharma,2025-11-28,SUDEEP.NS
EXCELSOFT,Excelsoft Technologies,2025-11-26,EXCELSOFT.NS
CAPILLARY,Capillary Technologies,2025-11-21,CAPILLARY.NS
FUJIYAMA,Fujiyama Solar,2025-11-20,FUJIYAMA.NS
TENNECO,Tenneco Clean Air,2025-11-19,TENNECO.NS
PHYSICS,Physicswallah,2025-11-18,PHYSICS.NS
EMMVEE,Emmvee Photovoltaic,2025-11-18,EMMVEE.NS
PINELABS,Pine Labs,2025-11-14,PINELABS.NS
GROWW,Groww,2025-11-12,GROWW.NS
LENSKART,Lenskart Solutions,2025-11-07,LENSKART.NS
STUDDS,Studds Accessories,2025-11-07,STUDDS.NS
ORKLA,Orkla India,2025-11-06,ORKLA.NS
MIDWEST,Midwest,2025-10-24,MIDWEST.NS
CANARAH,Canara HSBC Life,2025-10-17,CANARAH.NS
RUBICON,Rubicon Research,2025-10-16,RUBICON.NS
CANARAROB,Canara Robeco,2025-10-16,CANARAROB.NS
LGINDIA,LG Electronics,2025-10-14,LGINDIA.NS
TATACAP,Tata Capital,2025-10-13,TATACAP.NS
WEWORKINDIA,WeWork India,2025-10-10,WEWORKINDIA.NS
ADVANCEAGRO,Advance Agrolife,2025-10-08,ADVANCEAGRO.NS
OMFREIGHT,Om Freight Forwarders,2025-10-08,OMFREIGHT.NS
GLOTTIS,Glottis,2025-10-07,GLOTTIS.NS
FABTECH,Fabtech Technologies,2025-10-07,FABTECH.NS
PACE,Pace Digitek,2025-10-06,PACE.NS
TRUALT,TruAlt Bioenergy,2025-10-03,TRUALT.NS
JINKUSHAL,Jinkushal Industries,2025-10-03,JINKUSHAL.NS
JAINRESOURCE,Jain Resource Recycling,2025-10-01,JAINRESOURCE.NS
EPACKPREFAB,EPACK Prefab,2025-10-01,EPACKPREFAB.NS
BMWVENTURES,BMW Ventures,2025-10-01,BMWVENTURES.NS
SESHAASAI,Seshaasai Technologies,2025-09-30,SESHAASAI.NS
ANANDRATHI,Anand Rathi Share,2025-09-30,ANANDRATHI.NS
SOLARWORLD,Solarworld Energy,2025-09-30,SOLARWORLD.NS
JARO,Jaro Education,2025-09-30,JARO.NS
ATLANTA,Atlanta Electricals,2025-09-29,ATLANTA.NS
GANESHCON,Ganesh Consumer,2025-09-29,GANESHCON.NS
SAATVIKGL,Saatvik Green Energy,2025-09-26,SAATVIKGL.NS
GKENERGY,GK Energy,2025-09-26,GKENERGY.NS
IVALUE,iValue Infosolutions,2025-09-25,IVALUE.NS
VMSTMT,VMS TMT,2025-09-24,VMSTMT.NS
EUROPRATIK,Euro Pratik Sales,2025-09-23,EUROPRATIK.NS
URBANCO,Urban Company,2025-09-17,URBANCO.NS
SHRINGAR,Shringar House of Mangalsutra,2025-09-17,SHRINGAR.NS
DEVACCEL,Dev Accelerator,2025-09-17,DEVACCEL.NS
AMANTA,Amanta Healthcare,2025-09-09,AMANTA.NS
VIKRAN,Vikran Engineering,2025-09-03,VIKRAN.NS
ANLON,Anlon Healthcare,2025-09-03,ANLON.NS
MANGAL,Mangal Electrical,2025-08-28,MANGAL.NS
VIKRAMSOLR,Vikram Solar,2025-08-26,VIKRAMSOLR.NS
GEMAROMA,Gem Aromatics,2025-08-26,GEMAROMA.NS
SHREEJISHP,Shreeji Shipping,2025-08-26,SHREEJISHP.NS
PATELRMART,Patel Retail,2025-08-26,PATELRMART.NS
REGAAL,Regaal Resources,2025-08-20,REGAAL.NS
BLUESTONE,BlueStone Jewellery,2025-08-19,BLUESTONE.NS
JSWCEMENT,JSW Cement,2025-08-14,JSWCEMENT.NS
ALLTIME,All Time Plastics,2025-08-14,ALLTIME.NS
HIGHWAY,Highway Infrastructure,2025-08-12,HIGHWAY.NS
NSDL,NSDL,2025-08-06,NSDL.NS
SRILOTUS,Sri Lotus Developers,2025-08-06,LOTUSDEV.NS
MBEL,M&B Engineering,2025-08-06,MBEL.NS
ADITYAINFO,Aditya Infotech,2025-08-05,ADITYAINFO.NS
LAXMIINDIA,Laxmi India Finance,2025-08-05,LAXMIINDIA.NS
SHANTIGOLD,Shanti Gold,2025-08-01,SHANTIGOLD.NS
BRIGADE,Brigade Hotel Ventures,2025-07-31,BRIGADE.NS
INDIQUBE,IndiQube Spaces,2025-07-30,INDIQUBE.NS
GNG,GNG Electronics,2025-07-30,GNG.NS
ANTHEM,Anthem Biosciences,2025-07-21,ANTHEM.NS
SMARTWORKS,Smartworks Coworking,2025-07-17,SMARTWORKS.NS
TRAVELFOOD,Travel Food Services,2025-07-14,TRAVELFOOD.NS
CRIZAC,Crizac,2025-07-09,CRIZAC.NS
INDOGULF,Indogulf Cropsciences,2025-07-03,INDOGULF.NS
HDBFS,HDB Financial Services,2025-07-02,HDBFS.NS
SAMBHV,Sambhv Steel Tubes,2025-07-02,SAMBHV.NS
KALPATARU,Kalpataru,2025-07-01,KALPATARU.NS
ELLEN,ELLENBARRIE Industrial,2025-07-01,ELLEN.NS
GLOBECIVIL,Globe Civil Projects,2025-07-01,GLOBECIVIL.NS
ARISINFRA,ArisInfra Solutions,2025-06-25,ARISINFRA.NS
OSWALPUMPS,Oswal Pumps,2025-06-20,OSWALPUMPS.NS
SCODATUBES,Scoda Tubes,2025-06-04,SCODATUBES.NS
PROSTARM,Prostarm Info Systems,2025-06-03,PROSTARM.NS
SCHLOSS,Schloss Bangalore,2025-06-02,SCHLOSS.NS
AEGISVOPAK,Aegis Vopak Terminals,2025-06-02,AEGISVOPAK.NS
BELRISE,Belrise Industries,2025-05-28,BELRISE.NS
BORANA,Borana Weaves,2025-05-27,BORANA.NS
ATHERENERG,Ather Energy,2025-05-06,ATHERENERG.NS
QPOWER,Quality Power Electrical,2025-02-24,QPOWER.NS
HEXT,Hexaware Technologies,2025-02-19,HEXT.NS
AJAXENGG,Ajax Engineering,2025-02-17,AJAXENGG.NS
AGARWALEYE,Dr. Agarwals Health,2025-02-04,AGARWALEYE.NS
DENTA,Denta Water and Infra,2025-01-29,DENTA.NS
STALLION,Stallion India,2025-01-23,STALLION.NS
LAXMIDENTL,Laxmi Dental,2025-01-20,LAXMIDENTL.NS
QUADFUTURE,Quadrant Future Tek,2025-01-14,QUADFUTURE.NS
SGLTL,Standard Glass Lining,2025-01-13,SGLTL.NS
INDOFARM,Indo Farm Equipment,2025-01-07,INDOFARM.NS
UNIMECH,Unimech Aerospace,2024-12-31,UNIMECH.NS
SENORES,Senores Pharmaceutical,2024-12-30,SENORES.NS
CARRARO,Carraro India,2024-12-30,CARRARO.NS
VENTIVE,Ventive Hospitality,2024-12-30,VENTIVE.NS
CEWATER,Concord Enviro Systems,2024-12-27,CEWATER.NS
DAMCAPITAL,DAM Capital,2024-12-27,DAMCAPITAL.NS
SANATHAN,Sanathan Textiles,2024-12-27,SANATHAN.NS
MAMATA,Mamata Machinery,2024-12-27,MAMATA.NS
TRANSRAILL,Transrail Lighting,2024-12-27,TRANSRAILL.NS
IGIL,International Gemmological Institute,2024-12-20,IGIL.NS
IKS,Inventurus Knowledge Solutions,2024-12-19,IKS.NS
MOBIKWIK,One Mobikwik Systems,2024-12-18,MOBIKWIK.NS
VMM,Vishal Mega Mart,2024-12-18,VMM.NS
SAILIFE,Sai Life Sciences,2024-12-18,SAILIFE.NS
SURAKSHA,Suraksha Diagnostic,2024-12-06,SURAKSHA.NS
EIEL,Enviro Infra,2024-11-29,EIEL.NS
NTPCGREEN,NTPC Green Energy,2024-11-27,NTPCGREEN.NS
BLACKBUCK,Zinka Logistics,2024-11-22,BLACKBUCK.NS
NIVABUPA,Niva Bupa Health Insurance,2024-11-14,NIVABUPA.NS
SWIGGY,Swiggy,2024-11-13,SWIGGY.NS
ACMESOLAR,ACME Solar,2024-11-13,ACMESOLAR.NS
SAGILITY,Sagility India,2024-11-12,SAGILITY.NS
AFCONS,Afcons Infrastructure,2024-11-04,AFCONS.NS
GODAVARIB,Godavari Biorefineries,2024-10-30,GODAVARIB.NS
DBEIL,Deepak Builders and Engineers,2024-10-28,DBEIL.NS
WAAREEENER,Waaree Energies,2024-10-28,WAAREEENER.NS
HYUNDAI,Hyundai India,2024-10-22,HYUNDAI.NS
GARUDA,Garuda Construction,2024-10-15,GARUDA.NS
DIFFNKG,Diffusion Engineers,2024-10-04,DIFFNKG.NS
KRN,KRN Heat Exchanger,2024-10-03,KRN.NS
MANBA,Manba Finance,2024-09-30,MANBA.NS
ARKADE,Arkade Developers,2024-09-24,ARKADE.NS
WCIL,Western Carriers,2024-09-24,WCIL.NS
NORTHARC,Northern Arc Capital,2024-09-24,NORTHARC.NS
PNGJL,PN Gadgil Jewellers,2024-09-17,PNGJL.NS
KROSS,Kross,2024-09-16,KROSS.NS
BAJAJHFL,Bajaj Housing Finance,2024-09-16,BAJAJHFL.NS
TOLINS,Tolins Tyres,2024-09-16,TOLINS.NS
BALAJEE,Shree Tirupati Balajee Agro,2024-09-12,BALAJEE.NS
GALAPREC,Gala Precision,2024-09-09,GALAPREC.NS
STYLEBAAZA,Baazar Style Retail,2024-09-06,STYLEBAAZA.NS
ECOSMOBLTY,ECOS Mobility,2024-09-04,ECOSMOBLTY.NS
PREMIERENE,Premier Energies,2024-09-03,PREMIERENE.NS
ORIENTTECH,Orient Technologies,2024-08-28,ORIENTTECH.NS
INTERARCH,Interarch Building Products,2024-08-26,INTERARCH.NS
SAREGAMA,Saraswati Saree,2024-08-20,SARASWATI.NS
FIRSTCRY,Brainbees Solutions,2024-08-13,FIRSTCRY.NS
UNIECOM,Unicommerce eSolutions,2024-08-13,UNIECOM.NS
OLAELEC,Ola Electric Mobility,2024-08-09,OLAELEC.NS
CEIGALL,Ceigall India,2024-08-08,CEIGALL.NS
AKUMS,Akums Drugs,2024-08-06,AKUMS.NS
SANSTAR,Sanstar,2024-07-26,SANSTAR.NS
EMCURE,Emcure Pharmaceuticals,2024-07-10,EMCURE.NS
BANSALWIRE,Bansal Wire,2024-07-10,BANSALWIRE.NS
VRAJ,Vraj Iron,2024-07-03,VRAJ.NS
ABDL,Allied Blenders,2024-07-02,ABDL.NS
STANLEY,Stanley Lifestyles,2024-06-28,STANLEY.NS
AFIL,Akme Fintrade,2024-06-26,AFIL.NS
DEEDEV,Dee Development,2024-06-26,DEEDEV.NS
IXIGO,Le Travenues Technology,2024-06-18,IXIGO.NS
KRONOX,Kronox Lab,2024-06-10,KRONOX.NS
AWFIS,Awfis Space,2024-05-30,AWFIS.NS
GODIGIT,Go Digit Insurance,2024-05-23,GODIGIT.NS
TBOTEK,TBO Tek,2024-05-15,TBOTEK.NS
AADHARHFC,Aadhar Housing Finance,2024-05-15,AADHARHFC.NS
INDGN,Indegene,2024-05-13,INDGN.NS
